household_id,date,location_type,climate_zone,household_size,income_level,inflation_rate,electricity_tariff_rate,past_month_units,ac_hours,fan_hours,next_month_units
1,2023-04-01,Urban,WetWarm,2,High,9.92,52.84,76.9,3.28,8.88,97.3
6,2020-11-01,Urban,Cool,5,Middle,6.29,47.83,64.8,1.69,6.88,60.6
6,2022-10-01,Urban,Cool,5,Middle,7.72,50.29,67.5,1.89,5.97,56.3
5,2019-02-01,Urban,WetWarm,6,High,8.61,46.29,96.2,3.9,7.15,114.0
18,2015-11-01,Rural,DryHot,6,Low,3.63,39.56,50.3,0.41,2.88,47.8
19,2018-05-01,Rural,DryHot,6,Low,6.91,43.42,47.0,0.18,2.37,51.1
18,2020-10-01,Rural,DryHot,6,Low,7.62,47.43,49.2,0.27,2.74,47.3
2,2020-06-01,Urban,WetWarm,4,High,6.37,48.4,81.8,3.24,8.2,93.5
20,2021-01-01,Rural,DryHot,8,Low,7.42,48.84,65.5,0.99,3.28,61.4
8,2018-08-01,Urban,WetWarm,2,High,6.5,44.19,92.0,4.67,8.14,106.7
11,2018-06-01,Semi-urban,WetWarm,7,Middle,4.67,44.51,100.6,4.1,6.54,122.9
13,2019-06-01,Semi-urban,DryHot,4,Middle,4.79,45.98,125.4,6.78,10.88,84.9
5,2017-08-01,Urban,WetWarm,6,High,5.69,43.38,86.8,3.22,7.41,88.6
15,2024-04-01,Rural,DryHot,7,Low,8.43,53.61,60.0,0.87,2.68,56.0
9,2020-10-01,Semi-urban,WetWarm,5,Middle,7.62,47.43,109.7,5.33,7.3,96.6
11,2020-04-01,Semi-urban,WetWarm,7,Middle,6.4,47.05,126.2,5.97,9.34,95.5
9,2018-09-01,Semi-urban,WetWarm,5,Middle,7.29,44.53,114.8,5.76,7.39,100.5
12,2022-07-01,Semi-urban,WetWarm,4,Low,7.22,50.86,49.4,0.95,1.24,37.4
8,2024-05-01,Urban,WetWarm,2,High,9.22,53.0,90.0,4.42,7.76,80.5
18,2017-12-01,Rural,DryHot,6,Low,5.13,43.91,54.8,0.89,2.18,51.5
8,2020-07-01,Urban,WetWarm,2,High,6.81,47.2,75.9,3.39,8.23,90.9
19,2017-01-01,Rural,DryHot,6,Low,5.52,42.88,50.8,0.49,1.25,49.9
1,2016-12-01,Urban,WetWarm,2,High,4.19,41.66,96.9,5.2,7.46,96.3
9,2018-10-01,Semi-urban,WetWarm,5,Middle,5.61,43.66,100.5,4.61,7.12,86.7
15,2020-11-01,Rural,DryHot,7,Low,6.29,47.83,53.7,0.4,2.2,48.7
7,2022-04-01,Urban,WetWarm,4,Middle,9.28,50.94,81.2,3.21,7.02,102.8
20,2016-02-01,Rural,DryHot,8,Low,4.35,40.95,53.5,0.17,2.1,54.0
13,2024-06-01,Semi-urban,DryHot,4,Middle,8.44,53.93,123.6,6.64,8.27,129.9
19,2018-07-01,Rural,DryHot,6,Low,4.34,44.49,46.0,0.03,3.64,45.2
17,2017-03-01,Rural,DryHot,5,Low,3.88,42.42,47.1,0.5,2.57,49.7
18,2018-04-01,Rural,DryHot,6,Low,5.64,44.85,52.5,0.7,1.82,46.2
3,2020-12-01,Urban,Cool,3,Middle,5.4,47.17,41.1,0.32,5.51,44.5
3,2024-04-01,Urban,Cool,3,Middle,8.43,53.61,59.5,1.88,3.63,58.3
5,2020-09-01,Urban,WetWarm,6,High,6.43,47.17,102.6,4.33,9.87,110.8
3,2020-07-01,Urban,Cool,3,Middle,6.81,47.2,38.3,0.19,3.59,51.8
3,2018-12-01,Urban,Cool,3,Middle,5.9,44.28,40.8,0.34,3.94,44.9
15,2019-04-01,Rural,DryHot,7,Low,5.72,47.74,51.7,0.19,2.26,50.3
9,2021-02-01,Semi-urban,WetWarm,5,Middle,7.0,48.02,91.9,3.81,9.05,83.4
11,2019-11-01,Semi-urban,WetWarm,7,Middle,6.18,45.03,68.3,1.55,3.02,118.8
20,2021-04-01,Rural,DryHot,8,Low,7.83,47.9,56.0,0.39,1.91,57.2
13,2016-08-01,Semi-urban,DryHot,4,Middle,3.6,42.39,143.0,8.12,13.32,148.5
18,2015-04-01,Rural,DryHot,6,Low,1.75,40.36,45.3,0.1,2.44,49.1
6,2018-01-01,Urban,Cool,5,Middle,5.51,45.17,60.9,1.4,5.53,65.3
11,2023-09-01,Semi-urban,WetWarm,7,Middle,8.1,51.89,112.3,4.75,9.95,98.3
13,2023-09-01,Semi-urban,DryHot,4,Middle,8.1,51.89,143.2,8.15,10.21,92.7
11,2023-12-01,Semi-urban,WetWarm,7,Middle,7.95,51.32,122.7,5.84,7.01,123.4
9,2021-12-01,Semi-urban,WetWarm,5,Middle,7.61,49.29,110.0,5.3,8.36,99.9
1,2016-02-01,Urban,WetWarm,2,High,4.35,40.95,95.7,4.95,9.49,86.1
11,2021-01-01,Semi-urban,WetWarm,7,Middle,7.42,48.84,90.1,3.12,8.59,122.1
5,2017-11-01,Urban,WetWarm,6,High,5.01,42.21,112.1,5.23,10.0,98.9
4,2019-02-01,Urban,Cool,7,High,8.61,46.29,53.4,0.32,3.27,52.5
13,2017-12-01,Semi-urban,DryHot,4,Middle,5.13,43.91,125.6,6.87,10.09,109.6
3,2021-02-01,Urban,Cool,3,Middle,7.0,48.02,57.1,1.68,4.23,51.8
15,2016-06-01,Rural,DryHot,7,Low,5.06,40.53,52.2,0.35,2.44,56.0
6,2021-07-01,Urban,Cool,5,Middle,6.41,49.22,42.8,0.04,3.08,55.9
12,2015-01-01,Semi-urban,WetWarm,4,Low,5.85,40.12,48.1,0.86,2.03,40.2
13,2019-12-01,Semi-urban,DryHot,4,Middle,6.71,46.48,148.4,8.71,9.48,119.0
11,2021-10-01,Semi-urban,WetWarm,7,Middle,7.89,49.62,105.8,4.38,8.0,110.0
4,2016-11-01,Urban,Cool,7,High,4.88,41.19,61.9,1.08,4.36,61.1
7,2024-09-01,Urban,WetWarm,4,Middle,8.7,53.58,80.5,3.1,8.03,85.6
13,2017-03-01,Semi-urban,DryHot,4,Middle,3.88,42.42,118.3,6.2,12.16,120.4
5,2024-11-01,Urban,WetWarm,6,High,9.1,53.13,121.3,5.96,7.3,111.3
17,2024-02-01,Rural,DryHot,5,Low,8.92,53.22,50.0,0.65,2.62,51.9
15,2015-11-01,Rural,DryHot,7,Low,3.63,39.56,60.0,0.87,3.91,56.7
3,2016-12-01,Urban,Cool,3,Middle,4.19,41.66,58.8,1.88,5.58,46.2
18,2017-09-01,Rural,DryHot,6,Low,5.1,42.5,51.9,0.55,3.79,45.1
6,2017-07-01,Urban,Cool,5,Middle,6.06,41.63,62.8,1.49,6.98,48.3
9,2015-04-01,Semi-urban,WetWarm,5,Middle,1.75,40.36,82.4,3.17,8.45,98.9
14,2018-11-01,Semi-urban,WetWarm,7,Middle,4.94,45.11,92.6,3.36,7.71,108.2
19,2017-02-01,Rural,DryHot,6,Low,5.78,41.98,49.9,0.48,1.33,50.8
12,2016-10-01,Semi-urban,WetWarm,4,Low,6.66,40.85,42.1,0.23,3.66,38.7
1,2015-09-01,Urban,WetWarm,2,High,4.94,39.84,80.3,3.73,8.74,92.4
3,2021-05-01,Urban,Cool,3,Middle,6.75,48.98,45.7,0.62,5.97,59.5
3,2020-05-01,Urban,Cool,3,Middle,6.62,49.01,46.2,0.66,6.37,54.1
4,2020-08-01,Urban,Cool,7,High,4.72,47.66,57.1,0.54,6.68,70.6
1,2023-10-01,Urban,WetWarm,2,High,8.9,52.53,86.4,4.13,9.2,40.6
16,2015-10-01,Rural,DryHot,8,Low,4.05,39.64,57.1,0.58,1.35,55.6
2,2015-02-01,Urban,WetWarm,4,High,3.76,38.74,112.8,5.93,8.29,84.0
12,2022-02-01,Semi-urban,WetWarm,4,Low,7.32,50.82,48.6,0.82,3.37,49.3
14,2017-10-01,Semi-urban,WetWarm,7,Middle,5.48,43.4,108.4,4.75,6.36,106.5
10,2024-05-01,Semi-urban,WetWarm,6,Middle,9.22,53.0,90.8,3.47,7.46,108.9
14,2019-01-01,Semi-urban,WetWarm,7,Middle,5.85,47.0,121.2,5.65,8.95,101.7
1,2024-08-01,Urban,WetWarm,2,High,8.43,53.8,98.0,5.02,8.39,103.4
10,2020-12-01,Semi-urban,WetWarm,6,Middle,5.4,47.17,91.2,3.46,8.4,92.4
12,2022-08-01,Semi-urban,WetWarm,4,Low,4.83,50.03,37.4,0.0,1.37,50.5
19,2021-08-01,Rural,DryHot,6,Low,6.4,49.03,49.5,0.31,3.93,47.1
10,2019-05-01,Semi-urban,WetWarm,6,Middle,5.5,45.02,87.4,3.24,7.34,90.8
7,2022-05-01,Urban,WetWarm,4,Middle,7.33,50.32,102.8,4.9,8.99,112.6
13,2018-05-01,Semi-urban,DryHot,4,Middle,6.91,43.42,127.7,6.96,9.51,129.9
13,2015-02-01,Semi-urban,DryHot,4,Middle,3.76,38.74,145.8,8.37,13.83,129.4
5,2024-04-01,Urban,WetWarm,6,High,8.43,53.61,97.4,3.89,8.12,112.4
8,2015-06-01,Urban,WetWarm,2,High,3.68,40.2,81.7,3.81,9.68,96.3
20,2023-11-01,Rural,DryHot,8,Low,7.94,51.31,56.3,0.34,3.43,56.2
10,2016-11-01,Semi-urban,WetWarm,6,Middle,4.88,41.19,91.6,3.57,9.07,106.7
20,2016-04-01,Rural,DryHot,8,Low,4.55,40.52,63.1,0.94,2.65,61.2
5,2021-01-01,Urban,WetWarm,6,High,7.42,48.84,87.9,3.27,6.73,120.9
1,2022-04-01,Urban,WetWarm,2,High,9.28,50.94,96.5,5.12,6.16,87.3
19,2015-02-01,Rural,DryHot,6,Low,3.76,38.74,55.0,0.73,3.87,46.5
20,2020-01-01,Rural,DryHot,8,Low,7.09,48.14,56.6,0.35,2.75,55.5
14,2023-02-01,Semi-urban,WetWarm,7,Middle,7.16,53.38,124.1,5.73,9.86,120.9
19,2024-07-01,Rural,DryHot,6,Low,9.49,52.0,50.2,0.35,2.92,55.1
17,2016-01-01,Rural,DryHot,5,Low,4.7,41.48,49.2,0.57,2.83,50.4
17,2022-10-01,Rural,DryHot,5,Low,7.72,50.29,50.6,0.69,2.34,41.7
5,2020-04-01,Urban,WetWarm,6,High,6.4,47.05,111.9,5.13,9.02,101.7
14,2017-11-01,Semi-urban,WetWarm,7,Middle,5.01,42.21,106.5,4.48,9.76,113.4
18,2022-06-01,Rural,DryHot,6,Low,6.78,50.22,50.9,0.42,1.99,55.7
5,2016-03-01,Urban,WetWarm,6,High,4.66,41.43,94.3,3.69,9.65,104.3
19,2024-04-01,Rural,DryHot,6,Low,8.43,53.61,54.5,0.78,1.07,48.9
20,2024-07-01,Rural,DryHot,8,Low,9.49,52.0,64.0,0.91,2.67,60.0
12,2021-12-01,Semi-urban,WetWarm,4,Low,7.61,49.29,46.4,0.67,1.81,47.0
9,2015-05-01,Semi-urban,WetWarm,5,Middle,3.28,40.53,98.9,4.48,9.17,113.0
1,2020-12-01,Urban,WetWarm,2,High,5.4,47.17,108.0,5.93,8.43,78.6
1,2020-04-01,Urban,WetWarm,2,High,6.4,47.05,98.1,5.16,7.83,99.0
8,2015-02-01,Urban,WetWarm,2,High,3.76,38.74,83.1,3.95,9.82,103.5
14,2022-10-01,Semi-urban,WetWarm,7,Middle,7.72,50.29,124.3,5.95,8.05,104.4
16,2017-11-01,Rural,DryHot,8,Low,5.01,42.21,51.7,0.05,1.28,56.7
11,2018-09-01,Semi-urban,WetWarm,7,Middle,7.29,44.53,121.9,5.78,6.8,113.8
15,2021-01-01,Rural,DryHot,7,Low,7.42,48.84,49.2,0.09,1.47,58.9
5,2016-09-01,Urban,WetWarm,6,High,5.3,42.99,89.3,3.35,7.69,52.8
12,2023-06-01,Semi-urban,WetWarm,4,Low,8.09,52.46,44.1,0.41,2.6,40.5
12,2020-04-01,Semi-urban,WetWarm,4,Low,6.4,47.05,43.1,0.41,2.72,49.6
16,2015-05-01,Rural,DryHot,8,Low,3.28,40.53,62.7,0.83,3.38,64.7
7,2017-12-01,Urban,WetWarm,4,Middle,5.13,43.91,87.6,3.9,7.08,91.2
2,2022-02-01,Urban,WetWarm,4,High,7.32,50.82,107.9,5.29,9.41,98.8
8,2020-08-01,Urban,WetWarm,2,High,4.72,47.66,90.9,4.56,9.59,105.1
19,2024-06-01,Rural,DryHot,6,Low,8.44,53.93,51.1,0.41,3.06,50.2
5,2021-06-01,Urban,WetWarm,6,High,6.92,48.43,117.7,5.67,7.31,103.6
4,2016-06-01,Urban,Cool,7,High,5.06,40.53,69.6,1.76,3.7,70.3
5,2019-08-01,Urban,WetWarm,6,High,5.03,45.1,101.1,4.41,7.53,107.2
20,2022-09-01,Rural,DryHot,8,Low,7.7,49.7,61.1,0.65,3.99,58.3
8,2018-04-01,Urban,WetWarm,2,High,5.64,44.85,81.5,3.81,9.67,87.1
2,2021-07-01,Urban,WetWarm,4,High,6.41,49.22,80.0,3.08,7.79,80.2
5,2021-10-01,Urban,WetWarm,6,High,7.89,49.62,96.1,3.92,6.11,86.5
10,2016-09-01,Semi-urban,WetWarm,6,Middle,5.3,42.99,116.7,5.64,8.75,49.5
5,2024-03-01,Urban,WetWarm,6,High,9.17,54.27,98.1,3.96,8.3,97.4
5,2018-04-01,Urban,WetWarm,6,High,5.64,44.85,85.1,3.1,6.84,120.0
3,2020-09-01,Urban,Cool,3,Middle,6.43,47.17,36.5,0.02,3.26,49.5
17,2016-10-01,Rural,DryHot,5,Low,6.66,40.85,52.3,0.87,2.19,50.1
18,2017-04-01,Rural,DryHot,6,Low,4.36,41.99,51.5,0.6,1.43,54.2
9,2023-06-01,Semi-urban,WetWarm,5,Middle,8.09,52.46,82.5,3.04,7.14,82.8
1,2019-12-01,Urban,WetWarm,2,High,6.71,46.48,91.8,4.73,6.25,93.1
8,2020-03-01,Urban,WetWarm,2,High,6.58,46.09,108.0,5.95,9.87,79.1
10,2016-03-01,Semi-urban,WetWarm,6,Middle,4.66,41.43,93.1,3.73,7.08,89.0
2,2022-04-01,Urban,WetWarm,4,High,9.28,50.94,82.7,3.36,7.7,95.4
16,2017-12-01,Rural,DryHot,8,Low,5.13,43.91,56.7,0.4,3.49,55.9
6,2023-10-01,Urban,Cool,5,Middle,8.9,52.53,56.7,1.18,3.52,48.4
12,2018-01-01,Semi-urban,WetWarm,4,Low,5.51,45.17,42.1,0.37,1.42,42.9
2,2018-07-01,Urban,WetWarm,4,High,4.34,44.49,106.8,5.43,6.84,81.8
10,2023-06-01,Semi-urban,WetWarm,6,Middle,8.09,52.46,116.5,5.39,9.75,107.2
15,2023-11-01,Rural,DryHot,7,Low,7.94,51.31,54.8,0.51,3.27,55.9
20,2022-06-01,Rural,DryHot,8,Low,6.78,50.22,56.0,0.36,1.96,56.6
3,2016-05-01,Urban,Cool,3,Middle,6.6,41.29,48.4,1.08,3.97,55.3
5,2017-03-01,Urban,WetWarm,6,High,3.88,42.42,87.7,3.3,6.66,111.7
15,2023-04-01,Rural,DryHot,7,Low,9.92,52.84,61.7,0.96,3.31,49.9
17,2022-12-01,Rural,DryHot,5,Low,8.4,50.51,54.6,0.99,3.95,55.2
20,2021-06-01,Rural,DryHot,8,Low,6.92,48.43,54.7,0.24,2.15,54.4
6,2023-05-01,Urban,Cool,5,Middle,7.79,51.55,65.3,1.88,3.09,45.0
13,2021-01-01,Semi-urban,DryHot,4,Middle,7.42,48.84,128.0,7.0,10.4,119.1
1,2016-09-01,Urban,WetWarm,2,High,5.3,42.99,79.1,3.73,6.48,44.6
11,2020-10-01,Semi-urban,WetWarm,7,Middle,7.62,47.43,116.1,5.41,6.24,100.1
8,2021-04-01,Urban,WetWarm,2,High,7.83,47.9,101.1,5.51,7.12,76.5
4,2016-10-01,Urban,Cool,7,High,6.66,40.85,63.4,1.06,6.51,61.9
5,2019-11-01,Urban,WetWarm,6,High,6.18,45.03,49.6,0.33,3.8,108.1
14,2021-11-01,Semi-urban,WetWarm,7,Middle,5.9,48.14,103.3,4.31,6.89,97.2
10,2018-09-01,Semi-urban,WetWarm,6,Middle,7.29,44.53,88.0,3.33,7.21,104.5
1,2021-12-01,Urban,WetWarm,2,High,7.61,49.29,100.3,5.35,6.45,85.6
18,2020-06-01,Rural,DryHot,6,Low,6.37,48.4,48.6,0.25,2.32,52.1
10,2015-08-01,Semi-urban,WetWarm,6,Middle,3.63,39.43,115.3,5.67,6.15,102.7
15,2020-04-01,Rural,DryHot,7,Low,6.4,47.05,59.6,0.96,1.2,56.1
19,2015-06-01,Rural,DryHot,6,Low,3.68,40.2,51.0,0.52,3.6,51.7
3,2017-07-01,Urban,Cool,3,Middle,6.06,41.63,55.2,1.53,6.35,49.9
18,2023-08-01,Rural,DryHot,6,Low,8.07,51.87,55.4,0.73,3.99,47.8
19,2019-01-01,Rural,DryHot,6,Low,5.85,47.0,56.1,0.94,2.46,51.8
13,2021-06-01,Semi-urban,DryHot,4,Middle,6.92,48.43,150.5,8.66,13.8,113.3
19,2015-11-01,Rural,DryHot,6,Low,3.63,39.56,51.5,0.46,3.17,54.1
9,2017-03-01,Semi-urban,WetWarm,5,Middle,3.88,42.42,101.8,4.71,9.2,104.7
7,2015-08-01,Urban,WetWarm,4,Middle,3.63,39.43,87.4,3.82,9.07,95.3
4,2020-10-01,Urban,Cool,7,High,7.62,47.43,72.2,1.82,4.16,54.8
12,2018-05-01,Semi-urban,WetWarm,4,Low,6.91,43.42,43.2,0.38,3.22,49.9
18,2020-07-01,Rural,DryHot,6,Low,6.81,47.2,52.1,0.58,1.83,50.8
18,2021-06-01,Rural,DryHot,6,Low,6.92,48.43,52.0,0.59,2.77,47.1
4,2023-03-01,Urban,Cool,7,High,9.8,51.48,60.4,0.87,3.46,51.9
1,2021-07-01,Urban,WetWarm,2,High,6.41,49.22,89.4,4.42,9.16,76.6
17,2024-05-01,Rural,DryHot,5,Low,9.22,53.0,45.5,0.35,1.27,42.9
1,2017-09-01,Urban,WetWarm,2,High,5.1,42.5,99.7,5.43,6.12,106.6
9,2023-12-01,Semi-urban,WetWarm,5,Middle,7.95,51.32,107.5,5.0,9.77,94.1
7,2021-01-01,Urban,WetWarm,4,Middle,7.42,48.84,109.4,5.54,8.73,77.4
18,2024-07-01,Rural,DryHot,6,Low,9.49,52.0,52.4,0.67,1.34,49.0
4,2016-09-01,Urban,Cool,7,High,5.3,42.99,71.0,1.66,5.51,63.4
2,2023-11-01,Urban,WetWarm,4,High,7.94,51.31,52.1,1.0,4.78,103.1
13,2022-02-01,Semi-urban,DryHot,4,Middle,7.32,50.82,133.8,7.51,8.43,144.5
6,2024-08-01,Urban,Cool,5,Middle,8.43,53.8,60.5,1.45,3.63,61.9
18,2016-07-01,Rural,DryHot,6,Low,3.33,41.55,52.7,0.76,1.26,53.5
6,2022-03-01,Urban,Cool,5,Middle,6.81,49.83,51.6,0.59,5.51,63.2
17,2024-12-01,Rural,DryHot,5,Low,8.25,53.18,44.5,0.18,1.83,
17,2018-09-01,Rural,DryHot,5,Low,7.29,44.53,46.4,0.4,1.61,44.8
3,2020-06-01,Urban,Cool,3,Middle,6.37,48.4,54.1,1.35,5.62,38.3
2,2022-06-01,Urban,WetWarm,4,High,6.78,50.22,115.0,5.98,7.22,84.6
8,2016-11-01,Urban,WetWarm,2,High,4.88,41.19,100.2,5.32,9.92,81.0
19,2022-07-01,Rural,DryHot,6,Low,7.22,50.86,49.4,0.34,2.72,46.9
20,2023-04-01,Rural,DryHot,8,Low,9.92,52.84,61.3,0.72,1.32,57.3
15,2017-03-01,Rural,DryHot,7,Low,3.88,42.42,49.3,0.14,2.4,48.1
10,2023-03-01,Semi-urban,WetWarm,6,Middle,9.8,51.48,98.9,4.11,6.94,96.6
18,2021-07-01,Rural,DryHot,6,Low,6.41,49.22,47.1,0.1,2.91,57.7
7,2018-10-01,Urban,WetWarm,4,Middle,5.61,43.66,95.7,4.53,7.81,81.1
16,2024-08-01,Rural,DryHot,8,Low,8.43,53.8,53.1,0.06,2.05,56.5
17,2015-09-01,Rural,DryHot,5,Low,4.94,39.84,52.8,0.88,3.36,44.2
10,2017-03-01,Semi-urban,WetWarm,6,Middle,3.88,42.42,86.6,3.08,9.53,104.9
20,2021-09-01,Rural,DryHot,8,Low,8.17,49.5,62.5,0.75,3.5,61.3
5,2015-04-01,Urban,WetWarm,6,High,1.75,40.36,121.0,5.95,9.18,113.8
12,2015-02-01,Semi-urban,WetWarm,4,Low,3.76,38.74,40.2,0.2,1.77,44.2
3,2018-02-01,Urban,Cool,3,Middle,5.72,44.1,43.2,0.41,6.77,55.2
10,2023-02-01,Semi-urban,WetWarm,6,Middle,7.16,53.38,85.9,3.04,8.48,98.9
2,2023-06-01,Urban,WetWarm,4,High,8.09,52.46,104.3,5.03,8.64,110.3
9,2020-08-01,Semi-urban,WetWarm,5,Middle,4.72,47.66,110.2,5.43,7.61,96.0
5,2022-08-01,Urban,WetWarm,6,High,4.83,50.03,97.4,3.99,7.23,103.3
4,2019-04-01,Urban,Cool,7,High,5.72,47.74,70.9,1.69,4.39,72.6
10,2019-06-01,Semi-urban,WetWarm,6,Middle,4.79,45.98,90.8,3.5,6.75,105.7
20,2017-07-01,Rural,DryHot,8,Low,6.06,41.63,53.4,0.2,2.13,53.3
5,2023-10-01,Urban,WetWarm,6,High,8.9,52.53,104.2,4.48,8.54,64.0
16,2015-06-01,Rural,DryHot,8,Low,3.68,40.2,64.7,1.0,3.12,59.0
17,2016-09-01,Rural,DryHot,5,Low,5.3,42.99,43.9,0.24,1.04,52.3
20,2024-06-01,Rural,DryHot,8,Low,8.44,53.93,53.0,0.15,1.01,64.0
12,2023-04-01,Semi-urban,WetWarm,4,Low,9.92,52.84,47.9,0.8,1.49,45.8
6,2021-03-01,Urban,Cool,5,Middle,6.45,48.63,44.3,0.1,3.94,65.5
17,2018-02-01,Rural,DryHot,5,Low,5.72,44.1,42.6,0.16,1.69,46.8
4,2022-04-01,Urban,Cool,7,High,9.28,50.94,57.3,0.6,3.27,71.9
10,2015-04-01,Semi-urban,WetWarm,6,Middle,1.75,40.36,114.2,5.57,7.7,108.7
19,2017-10-01,Rural,DryHot,6,Low,5.48,43.4,47.5,0.24,1.39,52.7
13,2024-12-01,Semi-urban,DryHot,4,Middle,8.25,53.18,121.6,6.21,12.62,
18,2023-01-01,Rural,DryHot,6,Low,7.75,52.12,57.8,0.99,1.7,46.8
13,2017-08-01,Semi-urban,DryHot,4,Middle,5.69,43.38,134.2,7.46,12.83,108.9
