household_id,date,location_type,climate_zone,household_size,income_level,inflation_rate,electricity_tariff_rate,past_month_units,ac_hours,fan_hours,tv_hours,fridge_hours,next_month_units
1,2019-04-01,Urban,WetWarm,5,High,7.05,46.12,123.7,5.39,8.6,5.81,24,130.6
1,2019-05-01,Urban,WetWarm,5,High,7.69,45.72,124.1,5.67,7.35,4.5,24,112.4
1,2019-06-01,Urban,WetWarm,5,High,5.84,46.2,109.5,4.4,8.17,4.15,24,103.3
1,2019-07-01,Urban,WetWarm,5,High,7.72,46.43,94.0,3.09,6.15,6.29,24,87.9
1,2019-08-01,Urban,WetWarm,5,High,6.94,46.1,120.2,5.31,6.86,5.49,24,106.2
1,2019-09-01,Urban,WetWarm,5,High,5.92,46.35,95.3,3.16,8.13,5.16,24,82.9
1,2019-10-01,Urban,WetWarm,5,High,7.2,46.69,120.7,5.39,7.08,4.76,24,111.9
1,2019-11-01,Urban,WetWarm,5,High,7.35,44.7,96.4,3.08,9.85,6.34,24,89.1
1,2019-12-01,Urban,WetWarm,5,High,5.63,46.66,58.4,0.31,4.0,5.2,24,54.1
1,2020-01-01,Urban,WetWarm,5,High,7.89,47.74,118.8,4.98,7.12,6.82,24,117.8
1,2020-02-01,Urban,WetWarm,5,High,7.36,46.72,107.8,4.26,6.99,4.42,24,104.2
1,2020-03-01,Urban,WetWarm,5,High,8.39,48.06,90.8,3.04,6.46,3.18,24,87.2
1,2020-04-01,Urban,WetWarm,5,High,6.16,47.22,109.4,4.42,6.39,4.97,24,103.8
1,2020-05-01,Urban,WetWarm,5,High,6.22,47.32,99.1,3.52,7.74,4.59,24,92.0
1,2020-06-01,Urban,WetWarm,5,High,4.88,47.14,107.5,4.12,8.5,5.01,24,102.1
1,2020-07-01,Urban,WetWarm,5,High,6.96,47.71,115.3,4.98,6.65,3.28,24,106.2
1,2020-08-01,Urban,WetWarm,5,High,6.8,46.95,127.5,5.82,8.3,4.55,24,116.5
1,2020-09-01,Urban,WetWarm,5,High,6.05,48.13,111.3,4.37,8.18,6.77,24,105.5
1,2020-10-01,Urban,WetWarm,5,High,6.43,47.4,95.6,3.21,7.28,6.38,24,88.0
1,2020-11-01,Urban,WetWarm,5,High,5.45,47.25,73.1,1.63,4.13,3.47,24,71.4
1,2020-12-01,Urban,WetWarm,5,High,7.46,48.03,119.7,5.21,9.21,4.13,24,114.0
1,2021-01-01,Urban,WetWarm,5,High,6.61,48.78,122.9,5.25,9.23,6.96,24,120.4
1,2021-02-01,Urban,WetWarm,5,High,9.48,49.66,108.2,4.02,9.72,6.43,24,101.2
1,2021-03-01,Urban,WetWarm,5,High,6.86,49.69,120.9,5.25,9.02,3.41,24,118.4
1,2021-04-01,Urban,WetWarm,5,High,6.39,48.07,104.7,3.96,9.58,4.56,24,100.8
1,2021-05-01,Urban,WetWarm,5,High,6.67,49.78,125.7,5.72,6.37,4.28,24,114.5
1,2021-06-01,Urban,WetWarm,5,High,5.87,47.98,115.1,4.9,7.79,4.17,24,109.6
1,2021-07-01,Urban,WetWarm,5,High,7.39,49.82,120.1,5.02,9.01,6.17,24,112.5
1,2021-08-01,Urban,WetWarm,5,High,6.66,50.42,96.1,3.17,8.2,4.77,24,88.0
1,2021-09-01,Urban,WetWarm,5,High,7.91,49.61,104.7,4.05,6.47,3.57,24,93.5
1,2021-10-01,Urban,WetWarm,5,High,6.78,47.49,95.9,3.25,8.8,3.29,24,93.2
1,2021-11-01,Urban,WetWarm,5,High,8.11,49.74,70.7,1.41,3.33,3.34,24,58.9
1,2021-12-01,Urban,WetWarm,5,High,7.61,50.57,126.4,5.44,9.79,6.94,24,113.1
1,2022-01-01,Urban,WetWarm,5,High,7.52,50.29,107.3,4.13,6.33,6.11,24,102.2
1,2022-02-01,Urban,WetWarm,5,High,8.76,50.48,96.1,3.33,7.97,3.05,24,90.8
1,2022-03-01,Urban,WetWarm,5,High,8.26,49.67,93.7,3.17,6.48,3.47,24,89.7
1,2022-04-01,Urban,WetWarm,5,High,9.86,50.72,128.7,5.89,7.5,4.14,24,124.0
1,2022-05-01,Urban,WetWarm,5,High,7.17,51.39,102.1,3.67,9.85,3.05,24,99.4
1,2022-06-01,Urban,WetWarm,5,High,7.56,50.99,98.0,3.22,8.22,6.88,24,93.3
1,2022-07-01,Urban,WetWarm,5,High,8.75,52.7,117.5,4.89,8.78,4.82,24,113.6
1,2022-08-01,Urban,WetWarm,5,High,6.27,50.52,96.6,3.14,7.12,6.8,24,91.5
1,2022-09-01,Urban,WetWarm,5,High,8.55,49.36,109.3,4.37,8.48,4.11,24,94.7
1,2022-10-01,Urban,WetWarm,5,High,7.85,50.62,116.3,4.75,6.31,6.9,24,104.0
1,2022-11-01,Urban,WetWarm,5,High,6.79,48.81,118.8,5.09,8.14,4.24,24,106.9
1,2022-12-01,Urban,WetWarm,5,High,6.41,50.13,129.3,5.73,9.29,6.8,24,122.6
1,2023-01-01,Urban,WetWarm,5,High,7.46,53.14,118.1,4.84,7.67,6.73,24,113.9
1,2023-02-01,Urban,WetWarm,5,High,6.17,52.23,129.0,5.96,6.6,5.38,24,115.4
1,2023-03-01,Urban,WetWarm,5,High,7.61,52.13,131.2,5.91,9.37,6.35,24,115.9
1,2023-04-01,Urban,WetWarm,5,High,8.5,53.27,98.7,3.17,9.46,6.25,24,92.7
1,2023-05-01,Urban,WetWarm,5,High,7.62,51.81,132.0,5.99,8.22,6.08,24,119.6
1,2023-06-01,Urban,WetWarm,5,High,9.11,52.88,111.2,4.35,6.52,6.82,24,104.7
1,2023-07-01,Urban,WetWarm,5,High,9.33,52.09,102.8,3.69,8.69,5.47,24,99.2
1,2023-08-01,Urban,WetWarm,5,High,9.02,52.27,114.3,4.56,9.09,5.08,24,104.7
1,2023-09-01,Urban,WetWarm,5,High,8.18,51.15,115.1,4.66,8.24,6.51,24,110.2
1,2023-10-01,Urban,WetWarm,5,High,6.14,51.66,116.6,5.11,6.85,3.55,24,112.9
1,2023-11-01,Urban,WetWarm,5,High,7.44,51.02,106.2,4.05,8.36,4.57,24,99.2
1,2023-12-01,Urban,WetWarm,5,High,7.89,51.93,113.1,4.54,9.13,4.59,24,109.8
1,2024-01-01,Urban,WetWarm,5,High,7.78,53.77,126.2,5.59,9.8,3.59,24,111.6
1,2024-02-01,Urban,WetWarm,5,High,8.39,52.72,111.6,4.38,9.92,4.97,24,106.4
1,2024-03-01,Urban,WetWarm,5,High,9.79,54.93,114.9,4.9,6.96,3.3,24,107.4
1,2024-04-01,Urban,WetWarm,5,High,7.18,53.69,101.4,3.55,7.38,6.59,24,91.3
1,2024-05-01,Urban,WetWarm,5,High,9.95,53.54,116.1,5.0,6.69,3.77,24,104.5
1,2024-06-01,Urban,WetWarm,5,High,9.21,54.04,98.2,3.53,6.35,3.48,24,88.1
1,2024-07-01,Urban,WetWarm,5,High,8.71,52.92,101.4,3.62,7.46,5.01,24,92.4
1,2024-08-01,Urban,WetWarm,5,High,7.93,53.61,125.2,5.62,9.68,3.24,24,118.6
1,2024-09-01,Urban,WetWarm,5,High,7.8,53.0,122.5,5.42,8.99,3.74,24,113.6
1,2024-10-01,Urban,WetWarm,5,High,7.2,54.59,70.4,1.24,4.48,4.85,24,56.6
1,2024-11-01,Urban,WetWarm,5,High,9.87,52.76,96.0,3.11,7.01,5.85,24,102.3
1,2024-12-01,Urban,WetWarm,5,High,9.73,53.54,97.5,3.32,7.79,5.13,24,96.9
2,2015-01-01,Urban,WetWarm,5,High,3.03,39.02,99.6,3.81,7.51,3.08,24,91.7
2,2015-02-01,Urban,WetWarm,5,High,4.12,39.61,98.1,3.36,9.56,5.37,24,90.8
2,2015-03-01,Urban,WetWarm,5,High,3.87,40.3,119.5,5.37,7.99,3.35,24,117.4
2,2015-04-01,Urban,WetWarm,5,High,3.05,39.79,105.9,4.29,6.51,4.14,24,100.5
2,2015-05-01,Urban,WetWarm,5,High,3.7,38.66,115.9,4.94,8.28,4.42,24,102.9
2,2015-06-01,Urban,WetWarm,5,High,4.02,39.54,93.7,3.31,6.61,3.98,24,90.5
2,2015-07-01,Urban,WetWarm,5,High,3.48,41.37,98.1,3.56,7.14,3.69,24,92.5
2,2015-08-01,Urban,WetWarm,5,High,4.75,39.59,106.9,4.23,9.93,3.45,24,99.8
2,2015-09-01,Urban,WetWarm,5,High,3.87,39.89,128.8,5.91,9.46,6.27,24,122.8
2,2015-10-01,Urban,WetWarm,5,High,2.93,39.2,125.6,5.79,8.23,5.29,24,112.9
2,2015-11-01,Urban,WetWarm,5,High,2.86,40.41,118.5,5.31,6.75,4.29,24,102.6
2,2015-12-01,Urban,WetWarm,5,High,4.48,40.08,96.2,3.34,8.44,4.15,24,92.5
2,2016-01-01,Urban,WetWarm,5,High,3.31,40.98,97.2,3.46,7.92,5.13,24,89.3
2,2016-02-01,Urban,WetWarm,5,High,4.75,40.59,95.8,3.19,9.96,4.29,24,92.1
2,2016-03-01,Urban,WetWarm,5,High,4.86,42.48,103.2,3.76,8.73,6.04,24,88.5
2,2016-04-01,Urban,WetWarm,5,High,3.7,40.38,107.7,4.05,9.72,6.32,24,100.1
2,2016-05-01,Urban,WetWarm,5,High,5.21,41.85,98.5,3.37,8.92,6.75,24,95.2
2,2016-06-01,Urban,WetWarm,5,High,3.13,39.99,113.0,4.72,9.37,3.56,24,106.9
2,2016-07-01,Urban,WetWarm,5,High,4.74,42.0,98.4,3.6,6.65,3.66,24,93.1
2,2016-08-01,Urban,WetWarm,5,High,4.47,42.18,106.6,4.08,9.51,4.57,24,110.4
2,2016-09-01,Urban,WetWarm,5,High,4.4,42.27,107.7,4.32,7.51,4.85,24,100.9
2,2016-10-01,Urban,WetWarm,5,High,3.56,41.39,101.4,3.7,9.6,4.54,24,104.7
2,2016-11-01,Urban,WetWarm,5,High,3.75,42.61,125.1,5.72,8.5,3.47,24,110.5
2,2016-12-01,Urban,WetWarm,5,High,5.8,43.12,98.9,3.42,9.18,5.48,24,99.9
2,2017-01-01,Urban,WetWarm,5,High,5.97,42.77,124.4,5.68,9.15,3.61,24,120.1
2,2017-02-01,Urban,WetWarm,5,High,5.59,42.68,95.5,3.1,8.28,6.05,24,87.9
2,2017-03-01,Urban,WetWarm,5,High,5.75,43.1,105.2,4.03,9.29,3.44,24,99.6
2,2017-04-01,Urban,WetWarm,5,High,5.68,42.67,120.2,5.39,6.6,3.92,24,106.2
2,2017-05-01,Urban,WetWarm,5,High,4.74,42.56,119.7,5.16,8.56,5.78,24,108.9
2,2017-06-01,Urban,WetWarm,5,High,5.04,42.62,100.3,3.54,9.63,5.33,24,92.1
2,2017-07-01,Urban,WetWarm,5,High,3.82,44.2,109.5,4.39,9.79,3.61,24,114.7
2,2017-08-01,Urban,WetWarm,5,High,4.93,43.54,95.7,3.05,9.49,6.73,24,93.5
2,2017-09-01,Urban,WetWarm,5,High,5.95,42.66,119.1,5.09,9.69,5.83,24,120.5
2,2017-10-01,Urban,WetWarm,5,High,4.47,41.28,110.4,4.27,8.95,6.74,24,110.0
2,2017-11-01,Urban,WetWarm,5,High,5.82,41.92,110.1,4.35,6.45,6.94,24,101.6
2,2017-12-01,Urban,WetWarm,5,High,5.07,43.35,112.2,4.77,7.6,3.22,24,109.1
2,2018-01-01,Urban,WetWarm,5,High,4.39,43.01,119.8,5.41,6.02,4.33,24,112.5
2,2018-02-01,Urban,WetWarm,5,High,4.61,44.71,105.6,4.04,7.39,5.95,24,99.2
2,2018-03-01,Urban,WetWarm,5,High,6.24,43.75,99.2,3.67,7.81,3.56,24,83.3
2,2018-04-01,Urban,WetWarm,5,High,5.94,44.56,126.3,5.74,7.45,5.32,24,115.9
2,2018-05-01,Urban,WetWarm,5,High,5.58,44.54,93.4,3.04,8.65,3.71,24,88.9
2,2018-06-01,Urban,WetWarm,5,High,5.28,44.58,97.2,3.26,9.99,5.01,24,90.5
2,2018-07-01,Urban,WetWarm,5,High,5.67,44.22,95.5,3.2,9.0,3.84,24,89.9
2,2018-08-01,Urban,WetWarm,5,High,6.2,44.2,93.6,3.11,7.89,5.26,24,87.4
2,2018-09-01,Urban,WetWarm,5,High,6.68,44.0,73.3,1.55,4.81,5.1,24,73.9
2,2018-10-01,Urban,WetWarm,5,High,6.72,44.84,99.7,3.47,6.73,6.45,24,84.6
2,2018-11-01,Urban,WetWarm,5,High,5.8,45.06,106.2,4.12,7.08,5.58,24,102.8
2,2018-12-01,Urban,WetWarm,5,High,5.36,43.65,92.4,3.08,6.89,3.92,24,92.3
2,2019-01-01,Urban,WetWarm,5,High,6.12,45.96,93.2,3.06,6.42,6.2,24,82.5
2,2019-02-01,Urban,WetWarm,5,High,6.42,46.14,97.3,3.3,6.97,5.89,24,94.1
2,2019-03-01,Urban,WetWarm,5,High,6.41,46.13,123.1,5.49,7.59,5.67,24,116.1
2,2019-04-01,Urban,WetWarm,5,High,7.05,46.12,90.8,3.04,6.34,3.83,24,84.2
2,2019-05-01,Urban,WetWarm,5,High,7.69,45.72,100.3,3.54,8.33,4.69,24,93.2
2,2019-06-01,Urban,WetWarm,5,High,5.84,46.2,102.1,3.78,7.52,5.36,24,100.3
2,2019-07-01,Urban,WetWarm,5,High,7.72,46.43,115.8,4.87,7.64,5.21,24,108.4
2,2019-08-01,Urban,WetWarm,5,High,6.94,46.1,121.2,5.29,6.56,6.47,24,110.4
2,2019-09-01,Urban,WetWarm,5,High,5.92,46.35,125.3,5.68,9.2,4.7,24,118.8
2,2019-10-01,Urban,WetWarm,5,High,7.2,46.69,115.1,4.9,7.03,3.56,24,99.3
2,2019-11-01,Urban,WetWarm,5,High,7.35,44.7,127.5,5.95,8.1,3.69,24,118.8
2,2019-12-01,Urban,WetWarm,5,High,5.63,46.66,62.5,0.55,5.22,5.61,24,56.3
2,2020-01-01,Urban,WetWarm,5,High,7.89,47.74,99.1,3.62,6.04,3.55,24,92.7
2,2020-02-01,Urban,WetWarm,5,High,7.36,46.72,115.1,4.8,8.66,3.7,24,112.0
2,2020-03-01,Urban,WetWarm,5,High,8.39,48.06,107.7,4.26,7.53,5.08,24,102.9
2,2020-04-01,Urban,WetWarm,5,High,6.16,47.22,95.4,3.25,8.41,3.98,24,88.6
2,2020-05-01,Urban,WetWarm,5,High,6.22,47.32,103.7,3.87,7.42,5.88,24,93.5
2,2020-06-01,Urban,WetWarm,5,High,4.88,47.14,118.5,4.99,9.75,5.93,24,122.9
2,2020-07-01,Urban,WetWarm,5,High,6.96,47.71,93.4,3.09,7.05,5.38,24,98.5
2,2020-08-01,Urban,WetWarm,5,High,6.8,46.95,104.0,4.0,9.08,3.43,24,99.2
2,2020-09-01,Urban,WetWarm,5,High,6.05,48.13,120.3,5.18,7.98,5.75,24,114.5
2,2020-10-01,Urban,WetWarm,5,High,6.43,47.4,122.2,5.4,8.78,4.09,24,112.0
2,2020-11-01,Urban,WetWarm,5,High,5.45,47.25,63.3,0.72,3.37,6.67,24,58.6
2,2020-12-01,Urban,WetWarm,5,High,7.46,48.03,101.8,3.56,8.17,6.49,24,98.8
2,2021-01-01,Urban,WetWarm,5,High,6.61,48.78,124.3,5.42,8.64,5.77,24,115.4
2,2021-02-01,Urban,WetWarm,5,High,9.48,49.66,103.6,3.66,9.95,6.78,24,93.5
2,2021-03-01,Urban,WetWarm,5,High,6.86,49.69,119.3,5.12,9.7,3.72,24,108.5
2,2021-04-01,Urban,WetWarm,5,High,6.39,48.07,129.5,5.77,9.88,6.78,24,125.8
2,2021-05-01,Urban,WetWarm,5,High,6.67,49.78,125.7,5.59,9.38,4.28,24,118.1
2,2021-06-01,Urban,WetWarm,5,High,5.87,47.98,99.6,3.69,6.48,3.31,24,90.8
2,2021-07-01,Urban,WetWarm,5,High,7.39,49.82,104.7,4.02,8.9,3.26,24,105.6
2,2021-08-01,Urban,WetWarm,5,High,6.66,50.42,106.9,3.96,8.5,6.54,24,101.8
2,2021-09-01,Urban,WetWarm,5,High,7.91,49.61,101.3,3.7,6.1,6.48,24,94.0
2,2021-10-01,Urban,WetWarm,5,High,6.78,47.49,129.6,5.82,9.2,6.99,24,125.1
2,2021-11-01,Urban,WetWarm,5,High,8.11,49.74,73.7,1.53,4.61,4.92,24,67.0
2,2021-12-01,Urban,WetWarm,5,High,7.61,50.57,108.1,4.26,8.95,3.96,24,108.5
2,2022-01-01,Urban,WetWarm,5,High,7.52,50.29,104.9,4.06,7.15,4.19,24,97.8
2,2022-02-01,Urban,WetWarm,5,High,8.76,50.48,108.0,4.15,8.72,3.87,24,103.0
2,2022-03-01,Urban,WetWarm,5,High,8.26,49.67,121.7,5.36,6.36,4.67,24,110.5
2,2022-04-01,Urban,WetWarm,5,High,9.86,50.72,116.7,4.84,6.67,6.96,24,109.7
2,2022-05-01,Urban,WetWarm,5,High,7.17,51.39,128.9,5.83,8.6,5.43,24,116.9
2,2022-06-01,Urban,WetWarm,5,High,7.56,50.99,101.6,3.66,6.75,6.12,24,92.5
2,2022-07-01,Urban,WetWarm,5,High,8.75,52.7,99.1,3.17,9.88,6.54,24,101.6
2,2022-08-01,Urban,WetWarm,5,High,6.27,50.52,118.6,5.09,6.62,6.26,24,106.4
2,2022-09-01,Urban,WetWarm,5,High,8.55,49.36,102.2,3.67,8.15,5.37,24,94.3
2,2022-10-01,Urban,WetWarm,5,High,7.85,50.62,129.0,5.67,9.82,6.45,24,119.3
2,2022-11-01,Urban,WetWarm,5,High,6.79,48.81,115.9,4.97,8.2,3.35,24,102.8
2,2022-12-01,Urban,WetWarm,5,High,6.41,50.13,118.0,5.17,7.98,3.32,24,107.0
2,2023-01-01,Urban,WetWarm,5,High,7.46,53.14,119.0,5.05,6.3,6.4,24,118.6
2,2023-02-01,Urban,WetWarm,5,High,6.17,52.23,124.1,5.47,7.39,5.71,24,111.9
2,2023-03-01,Urban,WetWarm,5,High,7.61,52.13,105.6,3.8,9.51,6.19,24,104.4
2,2023-04-01,Urban,WetWarm,5,High,8.5,53.27,120.8,5.09,8.72,5.47,24,114.7
2,2023-05-01,Urban,WetWarm,5,High,7.62,51.81,100.9,3.48,9.52,6.49,24,96.7
2,2023-06-01,Urban,WetWarm,5,High,9.11,52.88,106.2,4.01,8.97,3.64,24,101.5
2,2023-07-01,Urban,WetWarm,5,High,9.33,52.09,122.5,5.5,8.03,3.03,24,114.3
2,2023-08-01,Urban,WetWarm,5,High,9.02,52.27,117.0,4.9,7.04,5.54,24,107.8
2,2023-09-01,Urban,WetWarm,5,High,8.18,51.15,122.2,5.34,6.43,6.04,24,110.9
2,2023-10-01,Urban,WetWarm,5,High,6.14,51.66,117.2,4.9,9.73,3.41,24,112.0
2,2023-11-01,Urban,WetWarm,5,High,7.44,51.02,117.4,5.06,6.27,4.2,24,107.7
2,2023-12-01,Urban,WetWarm,5,High,7.89,51.93,105.8,4.04,8.48,3.18,24,97.2
2,2024-01-01,Urban,WetWarm,5,High,7.78,53.77,131.0,5.92,9.88,6.0,24,129.0
2,2024-02-01,Urban,WetWarm,5,High,8.39,52.72,118.9,5.05,7.78,4.09,24,109.7
2,2024-03-01,Urban,WetWarm,5,High,9.79,54.93,109.1,4.28,7.81,3.65,24,97.8
2,2024-04-01,Urban,WetWarm,5,High,7.18,53.69,97.4,3.25,8.72,5.62,24,96.2
2,2024-05-01,Urban,WetWarm,5,High,9.95,53.54,128.7,5.85,6.6,4.73,24,124.1
2,2024-06-01,Urban,WetWarm,5,High,9.21,54.04,109.5,4.19,7.1,6.94,24,97.2
2,2024-07-01,Urban,WetWarm,5,High,8.71,52.92,124.4,5.68,6.92,3.85,24,108.9
2,2024-08-01,Urban,WetWarm,5,High,7.93,53.61,126.6,5.59,7.89,6.87,24,122.5
2,2024-09-01,Urban,WetWarm,5,High,7.8,53.0,127.8,5.61,9.11,6.08,24,121.6
2,2024-10-01,Urban,WetWarm,5,High,7.2,54.59,58.9,0.26,3.13,6.68,24,60.0
2,2024-11-01,Urban,WetWarm,5,High,9.87,52.76,121.4,5.39,7.93,3.47,24,109.8
2,2024-12-01,Urban,WetWarm,5,High,9.73,53.54,100.1,3.6,7.97,3.26,24,101.9
3,2015-01-01,Urban,WetWarm,4,High,3.03,39.02,98.5,3.81,9.19,4.24,24,92.1
3,2015-02-01,Urban,WetWarm,4,High,4.12,39.61,111.2,4.8,7.17,5.78,24,92.3
3,2015-03-01,Urban,WetWarm,4,High,3.87,40.3,115.3,5.34,6.16,4.92,24,104.5
3,2015-04-01,Urban,WetWarm,4,High,3.05,39.79,111.0,4.85,8.81,5.24,24,99.4
3,2015-05-01,Urban,WetWarm,4,High,3.7,38.66,99.0,3.98,8.07,3.35,24,89.1
3,2015-06-01,Urban,WetWarm,4,High,4.02,39.54,110.3,4.7,8.76,6.2,24,102.2
3,2015-07-01,Urban,WetWarm,4,High,3.48,41.37,94.8,3.5,6.42,5.55,24,87.7
3,2015-08-01,Urban,WetWarm,4,High,4.75,39.59,116.6,5.13,9.48,5.86,24,106.7
3,2015-09-01,Urban,WetWarm,4,High,3.87,39.89,101.2,4.02,9.26,3.32,24,101.4
3,2015-10-01,Urban,WetWarm,4,High,2.93,39.2,105.8,4.36,8.57,5.11,24,100.1
3,2015-11-01,Urban,WetWarm,4,High,2.86,40.41,89.4,3.24,6.24,3.99,24,81.7
3,2015-12-01,Urban,WetWarm,4,High,4.48,40.08,123.3,5.93,7.35,3.73,24,114.1
3,2016-01-01,Urban,WetWarm,4,High,3.31,40.98,113.3,4.98,7.99,5.22,24,104.9
3,2016-02-01,Urban,WetWarm,4,High,4.75,40.59,94.5,3.6,8.72,3.29,24,90.7
3,2016-03-01,Urban,WetWarm,4,High,4.86,42.48,100.0,3.77,7.85,6.47,24,91.4
3,2016-04-01,Urban,WetWarm,4,High,3.7,40.38,101.9,4.04,7.48,6.95,24,101.2
3,2016-05-01,Urban,WetWarm,4,High,5.21,41.85,120.9,5.6,8.31,4.75,24,115.8
3,2016-06-01,Urban,WetWarm,4,High,3.13,39.99,120.6,5.7,7.69,4.11,24,110.4
3,2016-07-01,Urban,WetWarm,4,High,4.74,42.0,122.1,5.74,6.84,5.49,24,108.2
3,2016-08-01,Urban,WetWarm,4,High,4.47,42.18,114.6,5.15,9.64,3.72,24,109.5
3,2016-09-01,Urban,WetWarm,4,High,4.4,42.27,124.7,5.91,6.72,6.42,24,115.0
